fecha,temp_max,temp_min,temp_prom
2026-05-04,20.1,10.6,15.4
2026-05-05,20.6,14.3,17.5
2026-05-06,20.9,16.2,18.5
2026-05-07,19.7,15.4,17.6
2026-05-08,14.8,7.2,11.0
2026-05-09,13.6,8.1,10.8
2026-05-10,13.5,9.4,11.4
2026-05-11,14.7,8.4,11.6
2026-05-12,16.9,6.3,11.6
2026-05-13,20.2,11.9,16.1
2026-05-14,16.5,12.8,14.7
2026-05-15,17.5,11.5,14.5
2026-05-16,20.5,14.4,17.4
2026-05-17,22.4,17.0,19.7
