report_date,week_num,start_date,end_date,demanda_gwh,demanda_mwmed,exportacion_gwh,exportacion_mwmed,termico_gwh,termico_mwmed,hidraulico_gwh,hidraulico_mwmed,nuclear_gwh,nuclear_mwmed,renovable_gwh,renovable_mwmed,importacion_gwh,importacion_mwmed,gas_mm3_dia,fo_miles_ton,go_miles_m3,carbon_miles_ton
2026-07-31,31,2026-07-27,2026-08-02,2800.0,16668.0,0.0,0.0,1320.0,7858.0,691.0,4112.0,237.0,1409.0,412.0,2455.0,151.0,898.0,35.0,3.0,1.0,21.0
2026-07-31,32,2026-08-03,2026-08-09,2825.0,16815.0,0.0,0.0,1177.0,7006.0,698.0,4153.0,236.0,1407.0,487.0,2899.0,227.0,1351.0,32.0,1.0,1.0,23.0
