fecha,temp_max,temp_min,temp_prom
2026-04-22,19.6,11.0,15.3
2026-04-23,22.2,11.1,16.6
2026-04-24,21.8,13.9,17.9
2026-04-25,20.9,14.8,17.9
2026-04-26,16.3,9.3,12.8
2026-04-27,17.4,7.5,12.4
2026-04-28,22.3,10.1,16.2
2026-04-29,21.4,13.2,17.3
2026-04-30,21.2,14.6,17.9
2026-05-01,21.9,15.0,18.4
2026-05-02,17.8,16.3,17.1
2026-05-03,20.0,14.6,17.3
2026-05-04,18.9,10.9,14.9
2026-05-05,16.4,10.5,13.4
