tipo,texto
daily,"Temperatura promedio en Buenos Aires: 12 C (min 9.0, max 15.0)."
daily,Demanda total del sistema: 143.2 MMm3/dia (suba de 4.7 MMm3/d vs dia anterior).
weekly,Pronostico de temperatura para los proximos 7 dias: rango 10-12 C (promedio 11.1 C).
weekly,Demanda total estimada para la semana: 128-157 MMm3/dia.
weekly,Demanda prioritaria estimada: 53-79 MMm3/dia.
